cricbuzz_name,historical_name,cricbuzz_id,match_method,confidence
AJ Patel,A Patel,,initial_match,0.98
Naveen-ul-Haq,Naveen-ul-Haq,,alias,1.0
Sanju Samson,SV Samson,,fuzzy_match,1.0
Shreyas Iyer,SS Iyer,,fuzzy_match,0.986842105263158
Nitish Kumar Reddy,Nithish Kumar Reddy,,fuzzy_match,1.0
Shivam Dube,S Dube,,initial_match,0.98
Axar Patel,A Patel,,initial_match,0.98
Jasprit Bumrah,JJ Bumrah,,fuzzy_match,0.9456521739130436
Vaibhav Sooryavanshi,V Suryavanshi,,alias,1.0
Jos Buttler,JC Buttler,,fuzzy_match,1.0
Harry Brook,HC Brook,,fuzzy_match,0.986842105263158
Tom Banton,T Banton,,initial_match,0.98
Will Jacks,WG Jacks,,fuzzy_match,1.0
Jamie Overton,J Overton,,initial_match,0.98
Josh Tongue,JC Tongue,,fuzzy_match,1.0
Sonny Baker,S Baker,,initial_match,0.98
Adil Rashid,AU Rashid,,fuzzy_match,1.0
Ben Duckett,BM Duckett,,fuzzy_match,1.0
Saqib Mahmood,S Mahmood,,initial_match,0.98
Jofra Archer,JC Archer,,fuzzy_match,1.0
James Coles,JM Coles,,fuzzy_match,1.0
Kamil Mishara,K Mishara,,initial_match,0.98
Pathum Nissanka,P Nissanka,,initial_match,0.98
Dasun Shanaka,MD Shanaka,,fuzzy_match,0.932608695652174
Dunith Wellalage,DN Wellalage,,fuzzy_match,1.0
Maheesh Theekshana,M Theekshana,,initial_match,0.98
Eshan Malinga,E Malinga,,initial_match,0.98
Janith Liyanage,J Liyanage,,initial_match,0.98
Dilshan Madushanka,D Madushanka,,initial_match,0.98
Pavan Rathnayake,P Rathnayake,,initial_match,0.98
Nuwan Thushara,N Thushara,,initial_match,0.98
Tharindu Ratnayake,KTH Ratnayake,,fuzzy_match,0.9241935483870968
Jordan Cox,JM Cox,,alias,1.0
Liam Dawson,LA Dawson,,alias,1.0
Gus Atkinson,AAP Atkinson,,alias,1.0
Charith Asalanka,KIC Asalanka,,alias,1.0
Wanindu Hasaranga,PWH de Silva,,alias,1.0
Dushmantha Chameera,PVD Chameera,,alias,1.0
Brandon King,BA King,,fuzzy_match,0.986842105263158
Zachary Carter,ZN Carter,,fuzzy_match,0.9456521739130436
Quinton de Kock,Q de Kock,,initial_match,0.98
Sherfane Rutherford,SE Rutherford,,fuzzy_match,1.0
Sadrack Descarte,S Descarte,,initial_match,0.98
Kevlon Anderson,KA Anderson,,fuzzy_match,1.0
Chris Green,C Green,,initial_match,0.98
Daniel Sams,DR Sams,,fuzzy_match,0.9166666666666666
Gudakesh Motie,G Motie,,initial_match,0.98
Jakeem Pollard,JJ Pollard,,fuzzy_match,1.0
Kirk McKenzie,KSA McKenzie,,fuzzy_match,1.0
Keacy Carty,KU Carty,,fuzzy_match,0.986842105263158
Rovman Powell,R Powell,,initial_match,0.98
Andre Russell,AD Russell,,fuzzy_match,1.0
Keemo Paul,KMA Paul,,fuzzy_match,1.0
George Linde,GF Linde,,fuzzy_match,0.95
Johann Layne,J Layne,,initial_match,0.98
Ramon Simmonds,RR Simmonds,,fuzzy_match,1.0
Rivaldo Clarke,R Clarke,,initial_match,0.98
Zishan Motara,Z Motara,,initial_match,0.98
Shian Brathwaite,S Brathwaite,,initial_match,0.98
Odean Smith,OF Smith,,fuzzy_match,0.986842105263158
Jeavor Royal,J Royal,,initial_match,0.98
Shaqkere Parris,SD Parris,,fuzzy_match,0.9166666666666666
Kelvin Pitman,K Pitman,,initial_match,0.98
Jediah Blades,J Blades,,initial_match,0.98
Mitchell Marsh,MR Marsh,,fuzzy_match,0.8863636363636364
Travis Head,TM Head,,fuzzy_match,0.9166666666666666
Cooper Connolly,C Connolly,,initial_match,0.98
Josh Inglis,JP Inglis,,fuzzy_match,1.0
Alex Carey,AT Carey,,fuzzy_match,1.0
Matt Renshaw,MT Renshaw,,fuzzy_match,1.0
Oliver Peake,OJ Peake,,fuzzy_match,0.95
Nathan Ellis,NT Ellis,,fuzzy_match,1.0
Adam Zampa,A Zampa,,initial_match,0.98
Josh Hazlewood,JR Hazlewood,,fuzzy_match,1.0
Billy Stanlake,B Stanlake,,initial_match,0.98
Brian Bennett,BJ Bennett,,fuzzy_match,1.0
Ben Curran,BJ Curran,,fuzzy_match,1.0
Innocent Kaia,I Kaia,,initial_match,0.98
Brendan Taylor,BRM Taylor,,fuzzy_match,1.0
Craig Ervine,CR Ervine,,fuzzy_match,1.0
Wessly Madhevere,W Madhevere,,initial_match,0.98
Brad Evans,B Evans,,initial_match,0.98
Wellington Masakadza,WP Masakadza,,fuzzy_match,0.9375
Newman Nyamhuri,NT Nyamhuri,,fuzzy_match,1.0
Blessing Muzarabani,B Muzarabani,,initial_match,0.98
j buttler,JC Buttler,,initial_match,0.98
phil salt,PD Salt,,fuzzy_match,1.0
j archer,JC Archer,,initial_match,0.98
l dawson,LA Dawson,,initial_match,0.98
s curran,SM Curran,,initial_match,0.98
chameera,PVD Chameera,,fuzzy_match,0.95
wellalage,DN Wellalage,,fuzzy_match,1.0
